Store Name	Product Link	Set Code	Card Name	Foil	Lang	Card Price	Stock	Expected USD Profit	Expected ROI	Weight	Tier
Aki Aki	https://www.aki-aki.net/product/131645	2X2	Dragon Arch	Foil	JP	0.05	13	0.78	1560	1216.8	B
Aki Aki	https://www.aki-aki.net/product/131648	2X2	Azorius Chancery	Foil	JP	0.09	2	0.15	166.667	25	D
Aki Aki	https://www.aki-aki.net/product/131652	2X2	Gruul Turf	Foil	JP	0.09	4	0.23	255.556	58.7778	B
Aki Aki	https://www.aki-aki.net/product/131653	2X2	Izzet Boilerworks	Foil	JP	0.09	2	0.18	200	36	B
Aki Aki	https://www.aki-aki.net/product/131656	2X2	Selesnya Sanctuary	Foil	JP	0.09	2	0.24	266.667	64	B
Aki Aki	https://www.aki-aki.net/product/131668	2X2	Relief Captain	Foil	JP	0.01	25	0.01	100	1	D
Aki Aki	https://www.aki-aki.net/product/131682	2X2	Jeskai Elder	Foil	JP	0.01	20	0.03	300	9	B
Aki Aki	https://www.aki-aki.net/product/131685	2X2	Mana Leak	Foil	JP	0.17	7	0.13	76.4706	9.94118	D
Aki Aki	https://www.aki-aki.net/product/131693	2X2	Liliana's Elite	Foil	JP	0.03	20	0.02	66.6667	1.33333	D
Aki Aki	https://www.aki-aki.net/product/131702	2X2	Dark-Dweller Oracle	Foil	JP	0.03	38	0.2	666.667	133.333	B
Aki Aki	https://www.aki-aki.net/product/131710	2X2	Pirate's Pillage	Foil	JP	0.05	7	0.31	620	192.2	B
Aki Aki	https://www.aki-aki.net/product/131723	2X2	Gnarlback Rhino	Foil	JP	0.03	16	0.08	266.667	21.3333	B
Aki Aki	https://www.aki-aki.net/product/131732	2X2	Bloodwater Entity	Foil	JP	0.03	19	0.04	133.333	5.33333	D
Aki Aki	https://www.aki-aki.net/product/131734	2X2	Call to the Feast	Foil	JP	0.03	16	0.08	266.667	21.3333	B
Aki Aki	https://www.aki-aki.net/product/131738	2X2	Dreg Mangler	Foil	JP	0.03	13	0.02	66.6667	1.33333	D
Aki Aki	https://www.aki-aki.net/product/131739	2X2	Fireblade Artist	Foil	JP	0.03	10	0.01	33.3333	0.333333	D
Aki Aki	https://www.aki-aki.net/product/131743	2X2	Lyev Skyknight	Foil	JP	0.03	17	0.01	33.3333	0.333333	D
Aki Aki	https://www.aki-aki.net/product/133373	BRO	Awaken the Woods		JP	5.8	4	9.16	157.931	1446.65	C
Aki Aki	https://www.aki-aki.net/product/133374	BRO	Titania, Voice of Gaea		JP	3.35	5	5.64	168.358	949.54	C
Aki Aki	https://www.aki-aki.net/product/133379	BRO	Platoon Dispenser		JP	0.36	22	0.49	136.111	66.6945	D
Aki Aki	https://www.aki-aki.net/product/133409	BRO	Painful Quandary		JP	0.22	3	0.26	118.182	30.7273	D
Aki Aki	https://www.aki-aki.net/product/133427	BRO	Queen Kayla bin-Kroog		JP	0.07	5	0.02	28.5714	0.571429	D
Aki Aki	https://www.aki-aki.net/product/133430	BRO	Urza, Prince of Kroog		JP	0.24	7	0.01	4.16667	0.0416668	D
Aki Aki	https://www.aki-aki.net/product/133437	BRO	Perennial Behemoth		JP	0.22	15	0.1	45.4545	4.54545	D
Aki Aki	https://www.aki-aki.net/product/133439	BRO	Liberator, Urza's Battlethopter		JP	0.61	1	0.39	63.9344	24.9344	D
Aki Aki	https://www.aki-aki.net/product/133488	BRO	Monastery Swiftspear		JP	0.05	21	0.1	200	20	B
Aki Aki	https://www.aki-aki.net/product/133532	BRO	Demolition Field		JP	0.05	129	0.43	860	369.8	B
Aki Aki	https://www.aki-aki.net/product/133538	BRO	Loran's Escape		JP	0.05	53	0.02	40	0.8	D
Aki Aki	https://www.aki-aki.net/product/133572	BRO	Overwhelming Remorse		JP	0.05	86	0.03	60	1.8	D
Aki Aki	https://www.aki-aki.net/product/133599	BRO	Gaea's Gift		JP	0.05	8	0.05	100	5	D
Aki Aki	https://www.aki-aki.net/product/133660	BRO	Saheeli, Filigree Master (Borderless)		JP	0.99	4	0.00999999	1.0101	0.010101	D
Aki Aki	https://www.aki-aki.net/product/133661	BRO	Mishra, Tamer of Mak Fawa (Borderless)		JP	0.19	51	0.04	21.0526	0.842106	D
Aki Aki	https://www.aki-aki.net/product/133662	BRO	Urza, Prince of Kroog (Borderless)		JP	0.17	16	0.23	135.294	31.1177	D
Aki Aki	https://www.aki-aki.net/product/133935	BRO	Sarinth Greatwurm	Foil	JP	0.61	3	0.11	18.0328	1.98361	D
Aki Aki	https://www.aki-aki.net/product/133965	BRO	Hostile Negotiations	Foil	JP	0.61	3	0.00999999	1.63934	0.0163934	D
Aki Aki	https://www.aki-aki.net/product/133973	BRO	Tyrant of Kher Ridges	Foil	JP	0.17	10	0.04	23.5294	0.941176	D
Aki Aki	https://www.aki-aki.net/product/133980	BRO	Deathbloom Ritualist	Foil	JP	0.22	10	0.08	36.3636	2.90909	D
Aki Aki	https://www.aki-aki.net/product/133986	BRO	Tawnos, the Toymaker	Foil	JP	0.19	5	0.02	10.5263	0.210526	D
Aki Aki	https://www.aki-aki.net/product/133991	BRO	Terisian Mindbreaker	Foil	JP	0.27	2	0.12	44.4444	5.33333	D
Aki Aki	https://www.aki-aki.net/product/133994	BRO	Phyrexian Dragon Engine	Foil	JP	0.91	2	1.85	203.297	376.099	B
Aki Aki	https://www.aki-aki.net/product/134013	BRO	Lay Down Arms	Foil	JP	0.61	1	0.06	9.83607	0.590164	D
Aki Aki	https://www.aki-aki.net/product/134046	BRO	Monastery Swiftspear	Foil	JP	0.22	27	0.22	100	22	D
Aki Aki	https://www.aki-aki.net/product/134101	BRO	Recommission	Foil	JP	0.17	33	0.26	152.941	39.7647	D
Aki Aki	https://www.aki-aki.net/product/134109	BRO	Fallaji Archaeologist	Foil	JP	0.12	20	0.09	75	6.75	D
Aki Aki	https://www.aki-aki.net/product/134130	BRO	Overwhelming Remorse	Foil	JP	0.09	41	0.2	222.222	44.4444	B
Aki Aki	https://www.aki-aki.net/product/134195	BRO	Island (271)	Foil	JP	0.03	2	0.04	133.333	5.33333	D
Aki Aki	https://www.aki-aki.net/product/134197	BRO	Swamp (273)	Foil	JP	0.03	53	0.05	166.667	8.33333	D
Aki Aki	https://www.aki-aki.net/product/134198	BRO	Mountain (274)	Foil	JP	0.03	61	0.03	100	3	D
Aki Aki	https://www.aki-aki.net/product/134199	BRO	Mountain (275)	Foil	JP	0.03	38	0.04	133.333	5.33333	D
Aki Aki	https://www.aki-aki.net/product/134200	BRO	Forest (276)	Foil	JP	0.03	18	0.1	333.333	33.3333	B
Aki Aki	https://www.aki-aki.net/product/133804	BRR	Mind's Eye		JP	0.24	42	0.76	316.667	240.667	B
Aki Aki	https://www.aki-aki.net/product/133808	BRR	Phyrexian Processor		JP	0.15	86	0.04	26.6667	1.06667	D
Aki Aki	https://www.aki-aki.net/product/133809	BRR	Platinum Angel		JP	0.48	3	2.02	420.833	850.083	B
Aki Aki	https://www.aki-aki.net/product/133814	BRR	Adaptive Automaton		JP	0.12	100	0.18	150	27	D
Aki Aki	https://www.aki-aki.net/product/133815	BRR	Ashnod's Altar		JP	0.61	9	3.9	639.344	2493.44	B
Aki Aki	https://www.aki-aki.net/product/133816	BRR	Astral Cornucopia		JP	0.07	77	0.03	42.8571	1.28571	D
Aki Aki	https://www.aki-aki.net/product/133817	BRR	Blackblade Reforged		JP	0.05	89	0.13	260	33.8	B
Aki Aki	https://www.aki-aki.net/product/133818	BRR	Chromatic Lantern		JP	0.36	63	2.64	733.333	1936	B
Aki Aki	https://www.aki-aki.net/product/133819	BRR	Cloud Key		JP	0.19	44	0.7	368.421	257.895	B
Aki Aki	https://www.aki-aki.net/product/133822	BRR	Gilded Lotus		JP	0.44	63	0.16	36.3636	5.81818	D
Aki Aki	https://www.aki-aki.net/product/133824	BRR	Howling Mine		JP	0.36	18	0.39	108.333	42.25	D
Aki Aki	https://www.aki-aki.net/product/133825	BRR	Inspiring Statuary		JP	0.12	69	0.08	66.6667	5.33333	D
Aki Aki	https://www.aki-aki.net/product/133833	BRR	Psychosis Crawler		JP	0.05	97	0.1	200	20	B
Aki Aki	https://www.aki-aki.net/product/133834	BRR	Quicksilver Amulet		JP	0.32	28	0.13	40.625	5.28125	D
Aki Aki	https://www.aki-aki.net/product/133835	BRR	Quietus Spike		JP	0.07	109	0.04	57.1429	2.28571	D
Aki Aki	https://www.aki-aki.net/product/133839	BRR	Semblance Anvil		JP	0.15	4	0.15	100	15	D
Aki Aki	https://www.aki-aki.net/product/133843	BRR	Well of Lost Dreams		JP	0.05	117	0.27	540	145.8	B
Aki Aki	https://www.aki-aki.net/product/133849	BRR	Ichor Wellspring		JP	0.05	48	0.02	40	0.8	D
Aki Aki	https://www.aki-aki.net/product/133861	BRR	Swiftfoot Boots		JP	0.05	194	0.25	500	125	B
Aki Aki	https://www.aki-aki.net/product/133864	BRR	Caged Sun (Schematic)		JP	0.56	1	1.66	296.429	492.071	B
Aki Aki	https://www.aki-aki.net/product/133867	BRR	Mind's Eye (Schematic)		JP	0.56	16	0.54	96.4286	52.0714	D
Aki Aki	https://www.aki-aki.net/product/133869	BRR	Mystic Forge (Schematic)		JP	0.61	5	5.79	949.18	5495.75	A
Aki Aki	https://www.aki-aki.net/product/133870	BRR	Perilous Vault (Schematic)		JP	0.19	9	0.1	52.6316	5.26316	D
Aki Aki	https://www.aki-aki.net/product/133871	BRR	Phyrexian Processor (Schematic)		JP	0.48	13	0.02	4.16667	0.0833335	D
Aki Aki	https://www.aki-aki.net/product/133872	BRR	Platinum Angel (Schematic)		JP	0.61	2	2.18	357.377	779.082	B
Aki Aki	https://www.aki-aki.net/product/133873	BRR	Ramos, Dragon Engine (Schematic)		JP	0.61	7	3.18	521.311	1657.77	B
Aki Aki	https://www.aki-aki.net/product/133874	BRR	Staff of Domination (Schematic)		JP	0.61	4	1.38	226.23	312.197	B
Aki Aki	https://www.aki-aki.net/product/133878	BRR	Ashnod's Altar (Schematic)		JP	0.61	7	4.11	673.77	2769.2	B
Aki Aki	https://www.aki-aki.net/product/133879	BRR	Astral Cornucopia (Schematic)		JP	0.12	27	0.03	25	0.750001	D
Aki Aki	https://www.aki-aki.net/product/133880	BRR	Blackblade Reforged (Schematic)		JP	0.19	19	0.15	78.9474	11.8421	D
Aki Aki	https://www.aki-aki.net/product/133881	BRR	Chromatic Lantern (Schematic)		JP	0.61	23	2.29	375.41	859.689	B
Aki Aki	https://www.aki-aki.net/product/133882	BRR	Cloud Key (Schematic)		JP	0.42	20	0.57	135.714	77.3572	D
Aki Aki	https://www.aki-aki.net/product/133885	BRR	Gilded Lotus (Schematic)		JP	0.61	13	0.09	14.7541	1.32787	D
Aki Aki	https://www.aki-aki.net/product/133887	BRR	Howling Mine (Schematic)		JP	0.34	17	0.54	158.824	85.7647	D
Aki Aki	https://www.aki-aki.net/product/133890	BRR	Keening Stone (Schematic)		JP	0.07	34	0.08	114.286	9.14286	D
Aki Aki	https://www.aki-aki.net/product/133896	BRR	Psychosis Crawler (Schematic)		JP	0.15	21	0.08	53.3333	4.26667	D
Aki Aki	https://www.aki-aki.net/product/133897	BRR	Quicksilver Amulet (Schematic)		JP	0.42	18	0.03	7.14285	0.214286	D
Aki Aki	https://www.aki-aki.net/product/133900	BRR	Scrap Trawler (Schematic)		JP	0.29	14	0.22	75.8621	16.6897	D
Aki Aki	https://www.aki-aki.net/product/133902	BRR	Semblance Anvil (Schematic)		JP	0.34	11	0.23	67.647	15.5588	D
Aki Aki	https://www.aki-aki.net/product/133905	BRR	Unwinding Clock (Schematic)		JP	0.61	16	2.35	385.246	905.328	B
Aki Aki	https://www.aki-aki.net/product/133906	BRR	Well of Lost Dreams (Schematic)		JP	0.12	32	0.13	108.333	14.0833	D
Aki Aki	https://www.aki-aki.net/product/133911	BRR	Foundry Inspector (Schematic)		JP	0.07	18	0.03	42.8571	1.28571	D
Aki Aki	https://www.aki-aki.net/product/133924	BRR	Swiftfoot Boots (Schematic)		JP	0.17	38	0.13	76.4706	9.94118	D
Aki Aki	https://www.aki-aki.net/product/134246	BRR	Adaptive Automaton	Foil	JP	0.29	1	0.58	200	116	B
Aki Aki	https://www.aki-aki.net/product/134248	BRR	Astral Cornucopia	Foil	JP	0.29	1	0.52	179.31	93.2414	D
Aki Aki	https://www.aki-aki.net/product/134265	BRR	Psychosis Crawler	Foil	JP	0.17	1	0.36	211.765	76.2353	B
Aki Aki	https://www.aki-aki.net/product/134275	BRR	Well of Lost Dreams	Foil	JP	0.22	2	0.46	209.091	96.1818	B
Aki Aki	https://www.aki-aki.net/product/134277	BRR	Burnished Hart	Foil	JP	0.05	13	0.15	300	45	B
Aki Aki	https://www.aki-aki.net/product/134279	BRR	Elsewhere Flask	Foil	JP	0.05	31	0.01	20	0.2	D
Aki Aki	https://www.aki-aki.net/product/134280	BRR	Foundry Inspector	Foil	JP	0.12	21	0.22	183.333	40.3333	D
Aki Aki	https://www.aki-aki.net/product/134288	BRR	Pristine Talisman	Foil	JP	0.12	13	0.02	16.6667	0.333334	D
Aki Aki	https://www.aki-aki.net/product/134290	BRR	Sigil of Valor	Foil	JP	0.05	14	0.03	60	1.8	D
Aki Aki	https://www.aki-aki.net/product/134293	BRR	Swiftfoot Boots	Foil	JP	0.15	14	1.97	1313.33	2587.27	B
Aki Aki	https://www.aki-aki.net/product/134343	BRR	Foundry Inspector (Schematic)	Foil	JP	0.27	2	0.17	62.963	10.7037	D
Aki Aki	https://www.aki-aki.net/product/132390	DMU	Silverback Elder		JP	0.97	1	4.64	478.35	2219.55	B
Aki Aki	https://www.aki-aki.net/product/132394	DMU	Rith, Liberated Primeval		JP	0.56	12	0.29	51.7857	15.0179	D
Aki Aki	https://www.aki-aki.net/product/132401	DMU	Weatherlight Compleated		JP	0.61	7	0.13	21.3115	2.77049	D
Aki Aki	https://www.aki-aki.net/product/132405	DMU	Defiler of Faith		JP	0.17	36	0.17	100	17	D
Aki Aki	https://www.aki-aki.net/product/132415	DMU	The Phasing of Zhalfir		JP	0.05	14	0.12	240	28.8	B
Aki Aki	https://www.aki-aki.net/product/132419	DMU	Braids, Arisen Nightmare		JP	0.29	56	1.21	417.241	504.862	B
Aki Aki	https://www.aki-aki.net/product/132449	DMU	Nemata, Primeval Warden		JP	0.05	42	0.14	280	39.2	B
Aki Aki	https://www.aki-aki.net/product/132454	DMU	Adarkar Wastes		JP	1.19	2	1.06	89.0756	94.4202	D
Aki Aki	https://www.aki-aki.net/product/132474	DMU	Combat Research		JP	0.05	154	0.14	280	39.2	B
Aki Aki	https://www.aki-aki.net/product/132480	DMU	Joint Exploration		JP	0.05	15	0.04	80	3.2	D
Aki Aki	https://www.aki-aki.net/product/132488	DMU	Cult Conscript		JP	0.05	12	0.03	60	1.8	D
Aki Aki	https://www.aki-aki.net/product/132497	DMU	Electrostatic Infantry		JP	0.05	241	0.05	100	5	D
Aki Aki	https://www.aki-aki.net/product/132503	DMU	Twinferno		JP	0.05	14	0.02	40	0.8	D
Aki Aki	https://www.aki-aki.net/product/132540	DMU	Relic of Legends		JP	0.05	93	0.94	1880	1767.2	B
Aki Aki	https://www.aki-aki.net/product/132551	DMU	Destroy Evil		JP	0.05	16	0.09	180	16.2	D
Aki Aki	https://www.aki-aki.net/product/132567	DMU	Shore Up		JP	0.05	190	0.05	100	5	D
Aki Aki	https://www.aki-aki.net/product/132633	DMU	Contaminated Aquifer		JP	0.05	174	0.15	300	45	B
Aki Aki	https://www.aki-aki.net/product/132634	DMU	Geothermal Bog		JP	0.05	33	0.05	100	5	D
Aki Aki	https://www.aki-aki.net/product/132635	DMU	Haunted Mire		JP	0.05	33	0.1	200	20	B
Aki Aki	https://www.aki-aki.net/product/132636	DMU	Idyllic Beachfront		JP	0.05	35	0.05	100	5	D
Aki Aki	https://www.aki-aki.net/product/132637	DMU	Molten Tributary		JP	0.05	37	0.05	100	5	D
Aki Aki	https://www.aki-aki.net/product/132638	DMU	Radiant Grove		JP	0.05	33	0.02	40	0.8	D
Aki Aki	https://www.aki-aki.net/product/132639	DMU	Sacred Peaks		JP	0.05	45	0.14	280	39.2	B
Aki Aki	https://www.aki-aki.net/product/132640	DMU	Sunlit Marsh		JP	0.05	31	0.12	240	28.8	B
Aki Aki	https://www.aki-aki.net/product/132641	DMU	Tangled Islet		JP	0.05	40	0.11	220	24.2	B
Aki Aki	https://www.aki-aki.net/product/132642	DMU	Wooded Ridgeline		JP	0.05	41	0.04	80	3.2	D
Aki Aki	https://www.aki-aki.net/product/132658	DMU	Plains (Showcase)		JP	0.22	132	0.68	309.091	210.182	B
Aki Aki	https://www.aki-aki.net/product/132659	DMU	Island (Showcase)		JP	0.22	114	0.43	195.455	84.0454	D
Aki Aki	https://www.aki-aki.net/product/132660	DMU	Swamp (Showcase)		JP	0.22	108	0.34	154.545	52.5455	D
Aki Aki	https://www.aki-aki.net/product/132661	DMU	Mountain (Showcase)		JP	0.22	107	0.22	100	22	D
Aki Aki	https://www.aki-aki.net/product/132662	DMU	Forest (Showcase)		JP	0.22	200	0.28	127.273	35.6364	D
Aki Aki	https://www.aki-aki.net/product/132718	DMU	Caves of Koilos (Borderless)		JP	0.61	2	0.38	62.2951	23.6721	D
Aki Aki	https://www.aki-aki.net/product/132720	DMU	Shivan Reef (Borderless)		JP	0.61	8	0.38	62.2951	23.6721	D
Aki Aki	https://www.aki-aki.net/product/132676	DMU	Braids, Arisen Nightmare (Showcase)		JP	0.39	14	1.58	405.128	640.103	B
Aki Aki	https://www.aki-aki.net/product/132685	DMU	Nemata, Primeval Warden (Showcase)		JP	0.05	16	0.04	80	3.2	D
Aki Aki	https://www.aki-aki.net/product/132795	DMU	Llanowar Greenwidow	Foil	JP	0.09	5	0.07	77.7778	5.44444	D
Aki Aki	https://www.aki-aki.net/product/132806	DMU	Nemata, Primeval Warden	Foil	JP	0.19	6	0.21	110.526	23.2105	D
Aki Aki	https://www.aki-aki.net/product/132808	DMU	Rivaz of the Claw	Foil	JP	0.22	3	0.75	340.909	255.682	B
Aki Aki	https://www.aki-aki.net/product/132846	DMU	Cut Down	Foil	JP	0.61	10	0.78	127.869	99.7377	D
Aki Aki	https://www.aki-aki.net/product/132854	DMU	Electrostatic Infantry	Foil	JP	0.27	18	1.17	433.333	507	B
Aki Aki	https://www.aki-aki.net/product/132908	DMU	Destroy Evil	Foil	JP	0.24	17	0.39	162.5	63.375	D
Aki Aki	https://www.aki-aki.net/product/133034	DMU	The Raven Man (Showcase)	Foil	JP	0.24	9	0.06	25	1.5	D
Aki Aki	https://www.aki-aki.net/product/133040	DMU	King Darien XLVIII (Showcase)	Foil	JP	0.24	8	0.07	29.1667	2.04167	D
Aki Aki	https://www.aki-aki.net/product/133042	DMU	Nemata, Primeval Warden (Showcase)	Foil	JP	0.15	22	0.07	46.6667	3.26667	D
Aki Aki	https://www.aki-aki.net/product/133043	DMU	Ratadrabik of Urborg (Showcase)	Foil	JP	0.32	4	0.17	53.125	9.03125	D
Aki Aki	https://www.aki-aki.net/product/133044	DMU	Rivaz of the Claw (Showcase)	Foil	JP	0.17	15	0.12	70.5882	8.47059	D
Aki Aki	https://www.aki-aki.net/product/134804	ONE	Tekuthal, Inquiry Dominus		JP	1.07	11	1.72	160.748	276.486	D
Aki Aki	https://www.aki-aki.net/product/134805	ONE	Drivnod, Carnage Dominus		JP	0.65	7	1.49	229.231	341.554	B
Aki Aki	https://www.aki-aki.net/product/134813	ONE	Zopandrel, Hunger Dominus		JP	0.73	22	2.27	310.959	705.877	B
Aki Aki	https://www.aki-aki.net/product/134849	ONE	Ezuri, Stalker of Spheres		JP	0.05	13	0.1	200	20	B
Aki Aki	https://www.aki-aki.net/product/134990	ONE	Prologue to Phyresis		JP	0.07	78	0.01	14.2857	0.142857	D
Aki Aki	https://www.aki-aki.net/product/135073	ONE	Tekuthal, Inquiry Dominus (Showcase)		JP	0.95	12	2.85	300	855	B
Aki Aki	https://www.aki-aki.net/product/135074	ONE	Drivnod, Carnage Dominus (Showcase)		JP	0.76	15	2.24	294.737	660.211	B
Aki Aki	https://www.aki-aki.net/product/135077	ONE	Solphim, Mayhem Dominus (Showcase)		JP	1.78	2	2.47	138.764	342.747	D
Aki Aki	https://www.aki-aki.net/product/135079	ONE	Zopandrel, Hunger Dominus (Showcase)		JP	0.9	2	2.1	233.333	490	B
Aki Aki	https://www.aki-aki.net/product/135082	ONE	Vraska, Betrayal's Sting (Showcase)		JP	6.61	5	13.38	202.421	2708.39	A
Aki Aki	https://www.aki-aki.net/product/135100	ONE	Ovika, Enigma Goliath (Showcase)		JP	0.05	7	0.07	140	9.8	D
Aki Aki	https://www.aki-aki.net/product/135167	ONE	Phyrexian Vindicator	Foil	JP	4.2	4	1.09	25.9524	28.2881	D
Aki Aki	https://www.aki-aki.net/product/135173	ONE	Vraska, Betrayal's Sting	Foil	JP	4.78	2	7.39	154.603	1142.51	C
Aki Aki	https://www.aki-aki.net/product/135187	ONE	Norn's Wellspring	Foil	JP	0.22	5	0.16	72.7273	11.6364	D
Aki Aki	https://www.aki-aki.net/product/135193	ONE	Encroaching Mycosynth	Foil	JP	0.29	6	0.15	51.7241	7.75862	D
Aki Aki	https://www.aki-aki.net/product/135196	ONE	Unctus, Grand Metatect	Foil	JP	0.48	2	0.04	8.33334	0.333333	D
Aki Aki	https://www.aki-aki.net/product/135198	ONE	Black Sun's Twilight	Foil	JP	0.61	2	0.15	24.5902	3.68852	D
Aki Aki	https://www.aki-aki.net/product/135205	ONE	Red Sun's Twilight	Foil	JP	0.24	2	0.28	116.667	32.6667	D
Aki Aki	https://www.aki-aki.net/product/135206	ONE	Slobad, Iron Goblin	Foil	JP	0.15	4	0.08	53.3333	4.26667	D
Aki Aki	https://www.aki-aki.net/product/135215	ONE	Ezuri, Stalker of Spheres	Foil	JP	0.19	9	0.36	189.474	68.2105	D
Aki Aki	https://www.aki-aki.net/product/135221	ONE	Malcator, Purity Overseer	Foil	JP	0.22	1	0.06	27.2727	1.63636	D
Aki Aki	https://www.aki-aki.net/product/135224	ONE	Ovika, Enigma Goliath	Foil	JP	0.22	2	0.07	31.8182	2.22727	D
Aki Aki	https://www.aki-aki.net/product/135225	ONE	Ria Ivor, Bane of Bladehold	Foil	JP	0.22	3	0.08	36.3636	2.90909	D
Aki Aki	https://www.aki-aki.net/product/135256	ONE	Swooping Lookout	Foil	JP	0.05	18	0.14	280	39.2	B
Aki Aki	https://www.aki-aki.net/product/135262	ONE	Reject Imperfection	Foil	JP	0.07	4	0.16	228.571	36.5714	B
Aki Aki	https://www.aki-aki.net/product/135263	ONE	Serum Snare	Foil	JP	0.22	4	0.03	13.6364	0.409091	D
Aki Aki	https://www.aki-aki.net/product/135266	ONE	Thrummingbird	Foil	JP	0.05	24	0.15	300	45	B
Aki Aki	https://www.aki-aki.net/product/135288	ONE	Furnace Punisher	Foil	JP	0.05	11	0.07	140	9.8	D
Aki Aki	https://www.aki-aki.net/product/135307	ONE	Unnatural Restoration	Foil	JP	0.27	8	1.03	381.481	392.926	B
Aki Aki	https://www.aki-aki.net/product/135310	ONE	Bladehold War-Whip	Foil	JP	0.05	8	0.17	340	57.8	B
Aki Aki	https://www.aki-aki.net/product/135338	ONE	Planar Disruption	Foil	JP	0.07	5	0.22	314.286	69.1429	B
Aki Aki	https://www.aki-aki.net/product/135361	ONE	Blightbelly Rat	Foil	JP	0.07	9	0.04	57.1429	2.28571	D
Aki Aki	https://www.aki-aki.net/product/135368	ONE	Infectious Inquiry	Foil	JP	0.07	7	0.29	414.286	120.143	B
Aki Aki	https://www.aki-aki.net/product/135375	ONE	Whisper of the Dross	Foil	JP	0.07	5	0.33	471.429	155.571	B
Aki Aki	https://www.aki-aki.net/product/135407	ONE	Thirsting Roots	Foil	JP	0.07	10	0.37	528.571	195.571	B
Aki Aki	https://www.aki-aki.net/product/135425	ONE	Terramorphic Expanse	Foil	JP	0.05	14	0.17	340	57.8	B
Aki Aki	https://www.aki-aki.net/product/135430	ONE	Forest (266)	Foil	JP	0.17	51	0.02	11.7647	0.235294	D
Aki Aki	https://www.aki-aki.net/product/135433	ONE	Swamp (269) (Phyrexian)	Foil	JP	0.61	15	0.15	24.5902	3.68852	D
Aki Aki	https://www.aki-aki.net/product/135445	ONE	Zopandrel, Hunger Dominus (Showcase)	Foil	JP	0.88	1	4.13	469.318	1938.28	B
Aki Aki	https://www.aki-aki.net/product/135461	ONE	Ezuri, Stalker of Spheres (Showcase)	Foil	JP	0.48	3	0.06	12.5	0.750001	D
Aki Aki	https://www.aki-aki.net/product/135466	ONE	Ovika, Enigma Goliath (Showcase)	Foil	JP	0.24	2	0.16	66.6667	10.6667	D
